source_id,authors,title,year,publication,doi_or_url,source_type,research_area,method,dataset,vehicle,fault_type,uncertainty_method,evaluation_metrics,key_result,limitation,relevance_to_AURA,possible_gap,verification
LIT-0011,Ferrer L.,Evaluating Posterior Probabilities: Decision Theory Proper Scoring Rules and Calibration,2024,arXiv:2408.02841,https://arxiv.org/abs/2408.02841,preprint,uncertainty-calibration,decision-theoretic evaluation,n/a,n/a,n/a,proper scoring rules,expected cost; proper scores,ECE is not a proper scoring rule and can be trivially gamed; decision cost is the defensible target,Theory paper,Justifies AURA using expected-cost/proper scores as primary and ECE as secondary,n/a,SEARCH_METADATA
LIT-0012,Gaus J.A.; Charaja J.P.F.; Haeufle D.,Confidence-Gated Robot Autonomy: When Does Uncertainty Actually Help?,2026,arXiv:2605.18045,https://arxiv.org/abs/2605.18045,preprint,uncertainty-gated-autonomy,7 uncertainty estimators compared under threshold gating,EGO4D; iAssist; GTEA + PyBullet,ground robot (simulated),n/a,softmax heuristics; MC dropout; ensembles,Spearman rho; AUROC; act/defer agreement; coverage-risk; cost,NEGATIVE RESULT: estimator choice practically irrelevant (>97.8% act/defer agreement); threshold dominates; competence threshold exists below which uncertainty ranking is useless; semantic OOD near chance (AUROC 0.35-0.49),Activity recognition not dynamics; stylised embodiment; no physical robot,STRONGEST ADVERSARIAL PRIOR: predicts AURA's core hypothesis will fail,Untested whether physics-derived residual evidence breaks the equivalence result,FETCH_VERIFIED
LIT-0013,Geifman Y.; El-Yaniv R.,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,2019,ICML 2019 / arXiv:1901.09192,https://arxiv.org/pdf/1901.09192,conference,abstention,joint prediction+selection network,image benchmarks,n/a,n/a,n/a,risk-coverage curve,Coverage/risk can be optimised jointly at training time,No dynamical systems; no shift evaluation,Provides the risk-coverage evaluation frame for AURA abstention,Risk-coverage never reported against analytic indistinguishability,SEARCH_METADATA
LIT-0014,Chow C.K.,On optimum recognition error and reject tradeoff,1970,IEEE Transactions on Information Theory 16(1),https://doi.org/10.1109/TIT.1970.1054406,journal,abstention,Bayes-optimal reject rule,n/a,n/a,n/a,n/a,error-reject tradeoff,Fixed-cost abstention has a Bayes-optimal threshold on the posterior,Assumes the true posterior is known,Theoretical optimum against which AURA abstention must be compared,Chow's rule is the simple baseline AURA must beat,PRIOR_KNOWLEDGE
LIT-0015,(authors not verified),Binary Classification with Bounded Abstention Rate,2019,arXiv:1905.09561,https://arxiv.org/pdf/1905.09561,preprint,abstention,bounded abstention,n/a,n/a,n/a,n/a,coverage-constrained risk,Abstention can be bounded at a specified rate,Binary only,Constrained-coverage variant relevant to escalation budgets,n/a,TITLE_URL_ONLY
LIT-0016,Angelopoulos A.; Bates S.; Candes E.; Jordan M.; Lei L.,Learn then Test: Calibrating Predictive Algorithms to Achieve Risk Control,2021,arXiv:2110.01052,https://arxiv.org/pdf/2110.01052,preprint,conformal-risk-control,distribution-free risk control,n/a,n/a,n/a,conformal,risk guarantee,Distribution-free finite-sample risk control for arbitrary predictors,Exchangeability assumption breaks under shift,Candidate for AURA escalation-threshold selection with guarantees,Exchangeability is violated exactly in the OOD case AURA studies,SEARCH_METADATA
LIT-0017,(authors not verified),Calibrated Prediction Set in Fault Detection with Risk Guarantees via Significance Tests,2025,arXiv:2508.01208,https://arxiv.org/abs/2508.01208,preprint,conformal-FDI,conformal prediction sets for fault detection,industrial,industrial,generic,conformal,coverage; set size,Conformal prediction sets give risk guarantees in fault detection,Exchangeability; non-aerospace,Prediction-set output form matches AURA's ambiguity-set output,Coverage under genuine dynamical shift untested,TITLE_URL_ONLY
LIT-0018,(authors not verified),Reducing false alarms in fault detection: A comparative analysis between conformal prediction and classical methods applied to PCA and autoencoders,2025,Control Engineering Practice,https://www.sciencedirect.com/science/article/abs/pii/S0959152425001234,journal,conformal-FDI,conformal vs classical thresholds,process data,process plant,process,conformal,FAR; detection rate,Conformal thresholds reduce false alarms vs classical limits,Process industry; quasi-static,Direct baseline for threshold setting,n/a,TITLE_URL_ONLY
LIT-0019,(authors not verified),Fault detection and diagnosis for the engine electrical system of a space launcher based on a temporal convolutional autoencoder and calibrated classifiers,2025,arXiv:2507.13022,https://arxiv.org/pdf/2507.13022,preprint,aerospace-FDD,TCN autoencoder + calibrated classifier,launcher engine electrical,space launcher,electrical,calibration,detection metrics,Calibrated classifiers usable in an aerospace FDD pipeline,Single system; no shift study,Aerospace precedent for calibrated FDD,No flight-regime shift; no abstention,TITLE_URL_ONLY
LIT-0020,Nguyen L.T.; Ogburn M.E.; Gilbert W.P.; Kibler K.S.; Brown P.W.; Deal P.L.,Simulator Study of Stall/Post-Stall Characteristics of a Fighter Airplane With Relaxed Longitudinal Static Stability,1979,NASA Technical Paper 1538,https://ntrs.nasa.gov/citations/19800005879,report,aircraft-model,wind-tunnel-derived nonlinear aero tables; 6-DOF,wind tunnel,F-16-like fighter,n/a,n/a,n/a,Publicly documented nonlinear aerodynamic model of an F-16-like fighter incl. high-alpha,1970s data; single configuration; not a validated modern F-16,Canonical open aero data behind most academic F-16 models,Model error vs reality is itself a source of simulation bias,SEARCH_METADATA
LIT-0021,Heidlauf P.; Collins A.; Bolender M.; Bak S.,Verification Challenges in F-16 Ground Collision Avoidance and Other Automated Maneuvers,2018,ARCH 2018 (Applied Verification for Continuous and Hybrid Systems),https://github.com/pheidlauf/AeroBenchVV,workshop,aircraft-model,F-16 6-DOF + autopilot benchmark,simulation,F-16 (academic model),n/a,n/a,n/a,Reusable open F-16 + GCAS autopilot V&V benchmark,Explicitly not the real GCAS; academic fidelity,Primary candidate simulation platform for AURA,Never used for fault diagnosis / uncertainty research,SEARCH_METADATA
LIT-0022,Bak S.,AeroBenchVVPython,2018-,Software (GitHub),https://github.com/stanleybak/AeroBenchVVPython,software,aircraft-model,Python port of AeroBenchVV,simulation,F-16 (academic model),n/a,n/a,n/a,Python 6-DOF F-16 with low-level controller and autopilots,Maintenance status and license must be verified before adoption,Leading candidate: Python-native; reproducible; controllable,n/a,SEARCH_METADATA
LIT-0023,ISR Lab (Chakraborty A. et al.),F16Model.jl / F16-Model-Matlab,2020-,Software (GitHub),https://github.com/isrlab/F16Model.jl,software,aircraft-model,nonlinear F-16 model; trim and linearisation,simulation,F-16 (academic model),n/a,n/a,n/a,Julia and MATLAB nonlinear F-16 with trim/linearisation utilities,Language mismatch with a Python stack,Alternative implementation for cross-implementation checks,Cross-implementation model mismatch is a usable OOD axis,SEARCH_METADATA
LIT-0024,Morelli E.A.,Global Nonlinear Parametric Modeling with Application to F-16 Aerodynamics,1998,NASA NTRS 20040110310,https://ntrs.nasa.gov/api/citations/20040110310/downloads/20040110310.pdf,report,aircraft-model,global polynomial aero modelling,wind tunnel,F-16,n/a,n/a,fit error,Smooth global polynomial models can replace aero lookup tables,Fit error relative to tables,Provides an alternate aero representation = controlled model-mismatch axis,Table-vs-polynomial mismatch is a principled parameter-shift generator,SEARCH_METADATA
LIT-0025,JSBSim Team,JSBSim Open Source Flight Dynamics Model,1996-,Software,https://github.com/JSBSim-Team/jsbsim,software,aircraft-model,6-DOF FDM; C++ with Python bindings,n/a,many aircraft,n/a,n/a,n/a,Mature open FDM with Python wheels and many aircraft configurations,Heavier; aero data quality varies by aircraft; harder to obtain clean ground truth,Alternative platform; higher fidelity; more configuration risk,Fidelity beyond the research question is a cost not a benefit,SEARCH_METADATA
LIT-0026,Stevens B.L.; Lewis F.L.; Johnson E.N.,Aircraft Control and Simulation,2015 (3rd ed.),Wiley,https://www.wiley.com/,book,aircraft-model,6-DOF equations; F-16 model; trim; control design,n/a,F-16,n/a,n/a,n/a,Standard textbook source of the academic F-16 model and 6-DOF formulation,Textbook; not a validated flight model,Governing-equations reference for AURA aircraft module,n/a,PRIOR_KNOWLEDGE
LIT-0027,Keipour A.; Mousaei M.; Scherer S.,ALFA: A dataset for UAV fault and anomaly detection,2021,International Journal of Robotics Research 40(2-3),https://doi.org/10.1177/0278364920966642,journal,dataset,real flight data with labelled faults,ALFA (47 flights; 66 min nominal; 13 min post-fault),fixed-wing UAV,engine failure; 7 control-surface/actuator fault types,none,detection metrics,Real labelled fixed-wing fault flights with ground-truth fault time and type,Actuator/engine faults only (no sensor faults); short post-fault durations; single airframe,PRIMARY real-data reality check for AURA; hedge against simulation-only claims,No sensor-fault classes; no uncertainty benchmarking published on it,SEARCH_METADATA
LIT-0028,NASA,DASHlink Sample Flight Data / Curated 4-Class Anomaly Detection Data Set,2012-,NASA DASHlink,https://c3.ndc.nasa.gov/dashlink/resources/1018/,dataset,dataset,operational FOQA-style flight data,~99000 flights; 160 s final-approach windows; 3 anomaly + 1 nominal class,commercial transport,operational anomalies (not component faults),none,anomaly detection metrics,Large real operational flight dataset with anomaly labels,Anomalies are operational not component-level; no fault ground truth; access terms must be checked,Useful for external validity of anomaly detection only,Labels do not support fault isolation research,SEARCH_METADATA
LIT-0029,(NGAFID authors),A Large-Scale Annotated Multivariate Time Series Aviation Maintenance Dataset from the NGAFID,2022,arXiv:2210.07317,https://arxiv.org/pdf/2210.07317,preprint,dataset,maintenance-labelled flight time series,28000+ flights; 23 channels at 1 Hz; 36 maintenance categories,Cessna 172 fleet,maintenance-induced degradation,none,classification metrics,Large real GA dataset with maintenance labels,Labels are maintenance events not injected faults; 1 Hz; GA aircraft,Real-data option for degradation-style faults,Label noise makes diagnostic ground truth weak,SEARCH_METADATA
LIT-0030,(BASiC authors),UAV sensor failures dataset: Biomisa ArduCopter Sensory Critique (BASiC),2024,Data in Brief / PMC10831493,https://pmc.ncbi.nlm.nih.gov/articles/PMC10831493/,dataset,dataset,simulated and logged sensor failures,ArduCopter SITL,multirotor UAV,sensor faults,none,n/a,Large-scale simulated UAV SENSOR-fault dataset (complements ALFA actuator faults),Multirotor; simulation-dominant,Sensor-fault dataset precedent; wrong airframe class for AURA,n/a,SEARCH_METADATA
LIT-0031,(authors not verified),UAV-SEAD: State Estimation Anomaly Dataset for UAVs,2026,arXiv:2602.13900,https://arxiv.org/pdf/2602.13900,preprint,dataset,state-estimation anomaly dataset,UAV flights,UAV,state estimation anomalies,none,anomaly metrics,Dataset targeting state-estimation anomalies specifically,Unverified; very recent,Closest dataset to AURA's estimation-centric framing; must be checked in Phase 1,n/a,TITLE_URL_ONLY
LIT-0032,Jordan T.L.; Langford W.M.; Belcastro C.M. et al.,AirSTAR: A UAV Platform for Flight Dynamics and Control System Testing,2006,AIAA / NASA NTRS 20060022136,https://ntrs.nasa.gov/api/citations/20060022136/downloads/20060022136.pdf,conference,aircraft-model,dynamically scaled transport testbed,flight test,GTM (5.5% scaled transport),upset; in-flight failure emulation,n/a,n/a,Open MATLAB/Simulink GTM model designed for failure emulation and upset research,MATLAB/Simulink dependency; transport not high-performance,Strong alternative aircraft model with genuine fault-research heritage,Requires MATLAB; conflicts with open reproducibility goal,SEARCH_METADATA
LIT-0033,(authors not verified),A Review of Fault Diagnosis Techniques Applied to Aircraft Air Data Sensors,2024,DX 2024; OASIcs vol. 125,https://doi.org/10.4230/OASIcs.DX.2024.3,review,aircraft-FDI,survey of model-based; signal-based; data-driven ADS diagnosis,n/a,transport/UAS,air data sensor faults,varies,varies,Consolidated taxonomy of air data sensor fault diagnosis,PDF extraction failed in this session; contents NOT independently verified,Highly relevant survey; MUST be read manually early in Phase 1,Survey-level gap statements not yet extracted,TITLE_URL_ONLY
LIT-0034,Freeman P.; Seiler P.; Balas G.J.,Air data system fault modeling and detection,2013,Control Engineering Practice,https://www.sciencedirect.com/science/article/abs/pii/S0967066113000993,journal,aircraft-FDI,physical fault models + analytical redundancy,simulation + flight,small UAS,pitot/static blockage; AoA vane,none,FAR; detection,Physically grounded air data fault models including blockage,Deterministic thresholds; no UQ,Source of physically realistic sensor fault models for AURA,No uncertainty; no shift evaluation,SEARCH_METADATA
LIT-0035,(authors not verified),Air data fault detection and isolation for small UAS using integrity monitoring framework,2021,NAVIGATION: Journal of the ION 68(3):577,https://navi.ion.org/content/68/3/577,journal,aircraft-FDI,integrity monitoring (RAIM-style),flight data,small UAS,air data sensor faults,integrity/protection levels,protection level; FAR,Integrity-monitoring framing gives statistical guarantees for air data FDI,No learned components,Integrity monitoring is a credible non-ML uncertainty baseline for AURA,Protection-level framing rarely compared against ML uncertainty,SEARCH_METADATA
LIT-0036,(authors not verified),Avionic Air Data Sensors Fault Detection and Isolation by means of Singular Perturbation and Geometric Approach,2017,Sensors / PMC5677446,https://pmc.ncbi.nlm.nih.gov/articles/PMC5677446/,journal,aircraft-FDI,nonlinear geometric approach; singular perturbation,simulation,transport aircraft,air data sensor faults,none,FAR; MDR,Geometric approach gives structured decoupling for ADS faults,Deterministic; model-exact assumptions,Model-based FDI baseline candidate,No uncertainty representation,SEARCH_METADATA
LIT-0037,(authors not verified),A Comprehensive Case Study of Data-Driven Methods for Robust Aircraft Sensor Fault Isolation,2021,Sensors / PMC7956534,https://pmc.ncbi.nlm.nih.gov/articles/PMC7956534/,journal,aircraft-FDI,data-driven isolation; Mahalanobis; reconstruction,flight data,transport aircraft,sensor faults,none,isolation accuracy,Data-driven isolation is feasible on aircraft sensor faults,No uncertainty; no shift protocol,Baseline for isolation-only performance,Robustness claims not tested under regime shift,SEARCH_METADATA
LIT-0038,(authors not verified),Aircraft robust data-driven multiple sensor fault diagnosis based on optimality criteria,2022,Mechanical Systems and Signal Processing,https://www.sciencedirect.com/science/article/abs/pii/S0888327021009924,journal,aircraft-FDI,optimality-criteria multiple sensor diagnosis,simulation/flight,aircraft,multiple simultaneous sensor faults,none,isolation metrics,Multiple simultaneous sensor faults can be addressed,Combinatorial growth; no abstention,Multiple-fault case is a principal source of ambiguity,Simultaneous-fault ambiguity is not modelled probabilistically,SEARCH_METADATA
LIT-0039,(authors not verified),Aircraft Sensor Fault Diagnosis Based on GraphSage and Attention Mechanism,2025,Sensors / PMC11819702,https://pmc.ncbi.nlm.nih.gov/articles/PMC11819702/,journal,aircraft-FDI,graph neural network + attention,simulation,aircraft,sensor faults,none,classification accuracy,GNN improves sensor fault classification accuracy,Accuracy-only evaluation; no UQ; no shift,Representative of the accuracy-chasing literature AURA argues against,Exemplifies the gap: no calibration; no abstention; no shift,SEARCH_METADATA
LIT-0040,(authors not verified),Fault Detection and Classification of Aerospace Sensors using a VGG16-based Deep Neural Network,2022,arXiv:2207.13267,https://arxiv.org/pdf/2207.13267,preprint,aircraft-FDI,CNN on sensor signals rendered as images,simulation,aerospace,sensor faults,none,accuracy,High classification accuracy achievable,Accuracy-only; image transform obscures physics,Same gap as LIT-0039,n/a,SEARCH_METADATA
LIT-0041,(authors not verified),Implementing Deep Learning for comprehensive aircraft icing and actuator/sensor fault detection/identification,2019,Engineering Applications of Artificial Intelligence,https://www.sciencedirect.com/science/article/abs/pii/S0952197619300958,journal,aircraft-FDI,deep learning multi-fault identification,simulation,transport aircraft,icing; actuator; sensor,none,accuracy,A single network can address icing + actuator + sensor faults,No uncertainty; no shift,Multi-fault-class precedent,Combined fault classes increase ambiguity that is left unmodelled,SEARCH_METADATA
LIT-0042,(authors not verified),On-board Deep-learning-based Unmanned Aerial Vehicle Fault Cause Detection and Identification,2020,ICRA 2020 / arXiv:2005.00336,https://arxiv.org/pdf/2005.00336,conference,aircraft-FDI,onboard deep learning fault cause identification,real UAV flights,fixed-wing UAV,actuator/engine,none,accuracy; latency,Onboard real-time fault cause identification demonstrated,No calibrated uncertainty,Real-time feasibility precedent,No abstention when cause is ambiguous,SEARCH_METADATA
LIT-0043,Volponi A.J.; Simon D.L. et al.,Application of a Bank of Kalman Filters for Aircraft Engine Fault Diagnostics,2003,ASME/IGTI; NASA NTRS 20030067984,https://ntrs.nasa.gov/api/citations/20030067984/downloads/20030067984.pdf,conference,MMAE,bank of Kalman filters; hypothesis-matched filters,engine simulation,turbofan engine,sensor/actuator/component,filter likelihoods,isolation accuracy,Hypothesis-matched KF bank isolates faults via residual likelihood,Requires one filter per hypothesis; scaling,CORE BASELINE: the KF-bank posterior IS a principled probabilistic diagnosis,KF-bank posteriors are almost never evaluated as calibrated uncertainty,SEARCH_METADATA
LIT-0044,(authors not verified),Selective-Reinitialization Multiple-Model Adaptive Estimation for Fault Detection and Diagnosis,2015,Journal of Guidance Control and Dynamics,https://arc.aiaa.org/doi/10.2514/1.G000587,journal,MMAE,MMAE with selective reinitialization,simulation,aerospace,sensor/actuator,MMAE posterior weights,detection; isolation,MMAE posterior collapse can be mitigated by reinitialization,Known MMAE failure mode: posterior lock-in / overconfidence,MMAE overconfidence is exactly the miscalibration AURA studies,MMAE overconfidence never quantified with calibration metrics,SEARCH_METADATA
LIT-0045,Pourbabaee B.; Meskin N.; Khorasani K.,Sensor Fault Detection Isolation and Identification Using Multiple Model-based Hybrid Kalman Filter for Gas Turbine Engines,2015,IEEE Trans. Control Systems Technology / arXiv:1505.02063,https://arxiv.org/pdf/1505.02063,journal,MMAE,hybrid Kalman filter bank,engine simulation,gas turbine,sensor faults,filter probabilities,FAR; MDR,Hybrid KF bank achieves sensor FDI on engines,Engine domain; no shift study,Method template transferable to flight dynamics,n/a,SEARCH_METADATA
LIT-0046,Jung D.,Residual Generation Using Physically-Based Grey-Box Recurrent Neural Networks For Engine Fault Diagnosis,2020,arXiv:2008.04644,https://arxiv.org/html/2008.04644,preprint,hybrid-physics-ML,grey-box RNN residual generators,engine test bench,automotive engine,sensor; leakage,none,FAR; detection,Grey-box RNN residuals combine physical structure with learning,Automotive; no UQ,Direct precedent for AURA hybrid residuals,Grey-box residual uncertainty not quantified,SEARCH_METADATA
LIT-0047,Jung D. et al.,Consistency-based diagnosis using data-driven residuals and limited training data,2025,Control Engineering Practice,https://www.sciencedirect.com/science/article/pii/S0967066125000462,journal,hybrid-physics-ML,data-driven residuals inside consistency-based diagnosis,industrial,industrial,generic,none/implicit,FAR; isolation,Data-driven residuals can be used in consistency-based diagnosis if interpretable,Needs knowledge of model inaccuracies to avoid false alarms,Bridges structural diagnosis and learned residuals: AURA's exact architecture,Uncertainty of learned residuals still unresolved,SEARCH_METADATA
LIT-0048,(authors not verified),Physics-informed machine learning: A comprehensive review on applications in anomaly detection and condition monitoring,2024,Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417424015458,review,hybrid-physics-ML,review,n/a,n/a,n/a,varies,varies,Physics-informed ML improves data efficiency and generalisation in monitoring,Review; heterogeneous evidence,Positions AURA's hybrid choice within a surveyed field,Review does not resolve UQ under shift,SEARCH_METADATA
LIT-0049,(authors not verified),Towards a Resilience-Oriented Framework for Fault Diagnosis Under Varying Operating Conditions,2026,Sensors 26(16):5239,https://doi.org/10.3390/s26165239,journal,distribution-shift-FDI,resilience framing for varying conditions,industrial,industrial,generic,varies,varies,Explicitly frames varying operating conditions as the central open challenge,Non-aerospace,Confirms cross-condition shift is an active recognised problem,n/a,SEARCH_METADATA
LIT-0050,(authors not verified),A distance-aware approach for reliable out-of-distribution detection of wind turbine gearbox fault diagnosis,2024,Frontiers in Energy Research,https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2024.1496130/full,journal,distribution-shift-FDI,distance-aware OOD detection,wind turbine data,wind turbine,gearbox,distance-aware uncertainty,OOD AUROC,Distance-aware representations improve OOD detection reliability,Non-aerospace; quasi-static,Distance-aware methods (SNGP-style) are a candidate AURA method,Distance-awareness untested where OOD and fault are correlated,SEARCH_METADATA
LIT-0051,(authors not verified),Cross-Condition Fault Diagnosis of an Aircraft Environmental Control System (ECS) by Transfer Learning,2023,Applied Sciences 13(24):13120,https://doi.org/10.3390/app132413120,journal,distribution-shift-FDI,transfer learning (TCA; JDA),ECS simulation,aircraft subsystem,ECS faults,none,accuracy across conditions,Transfer learning recovers accuracy across operating conditions,Requires target-domain data; no UQ; subsystem not flight dynamics,Shows cross-condition degradation is real in AIRCRAFT systems,Transfer learning ASSUMES target data is available; AURA's setting has none,SEARCH_METADATA
LIT-0052,ASTM International,ASTM F3269-21 Standard Practice for Methods to Safely Bound Behavior of Aircraft Systems Containing Complex Functions Using Run-Time Assurance,2021,ASTM standard,https://store.astm.org/f3269-21.html,standard,assured-autonomy,run-time assurance architecture,n/a,UAS,n/a,n/a,n/a,Industry standard RTA architecture for bounding complex/uncertifiable functions,Paywalled standard; architectural not algorithmic,Defines the certification-credible container the AURA decision layer must fit,RTA assumes a trusted monitor; AURA studies monitor trustworthiness,SEARCH_METADATA
LIT-0053,Nagarajan P.; Kannan S.K.; Torens C.; Vukas M.E. et al.,ASTM F3269 - An Industry Standard on Run Time Assurance for Aircraft Systems,2021,AIAA SciTech 2021,https://arc.aiaa.org/doi/10.2514/6.2021-0525,conference,assured-autonomy,exposition of F3269 RTA,n/a,UAS,n/a,n/a,n/a,Accessible public exposition of the F3269 RTA standard,Not algorithmic research,Public description of the standard,n/a,SEARCH_METADATA
LIT-0054,Hobbs K.L. et al.,Runtime Assurance for Autonomous Aerospace Systems,2021,Journal of Guidance Control and Dynamics,https://arc.aiaa.org/doi/10.2514/1.G004862,journal,assured-autonomy,RTA design for aerospace,simulation,aerospace,n/a,n/a,safety violation rate,RTA can bound unverified controllers in aerospace,Assumes a reliable safety monitor,AURA's escalation layer is an RTA switching decision under uncertainty,Monitor reliability under OOD is the unaddressed assumption,SEARCH_METADATA
LIT-0055,Mehmood U.; Bak S.; Smolka S.A.; Stoller S.D.,The Black-Box Simplex Architecture for Runtime Assurance of Autonomous CPS,2021,NASA Formal Methods / arXiv:2102.12981,https://arxiv.org/pdf/2102.12981,conference,assured-autonomy,black-box simplex,simulation,CPS including aircraft,n/a,n/a,safety,Simplex switching without a white-box baseline controller,Guarantees rely on reachability assumptions,Switching-architecture precedent,n/a,SEARCH_METADATA
LIT-0056,(NASA authors),A Formal Verification Framework for Runtime Assurance,2024,NASA Formal Methods 2024 / NTRS 20230017350,https://ntrs.nasa.gov/citations/20230017350,conference,assured-autonomy,formal verification of RTA,n/a,aerospace,n/a,n/a,n/a,Formal framework for verifying RTA switching logic,Formal-methods scope,Positions AURA's decision layer relative to verification practice,n/a,SEARCH_METADATA
